name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Gone,PG-13,Action,2012,"February 24, 2012 (United States)",5.9,43000.0,Heitor Dhalia,Allison Burnett,Amanda Seyfried,United States,,19767535.0,Summit Entertainment,94.0
In a World...,R,Comedy,2013,"September 13, 2013 (United Kingdom)",6.7,31000.0,Lake Bell,Lake Bell,Lake Bell,United States,,3114953.0,3311 Productions,93.0
The Eagle,PG-13,Action,2011,"February 11, 2011 (United States)",6.2,67000.0,Kevin Macdonald,Jeremy Brock,Channing Tatum,United Kingdom,25000000.0,37989684.0,Focus Features,114.0
Back to the Future,PG,Adventure,1985,"July 3, 1985 (United States)",8.5,1100000.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,19000000.0,381906762.0,Universal Pictures,116.0
Drugstore Cowboy,R,Crime,1989,"October 20, 1989 (United States)",7.3,34000.0,Gus Van Sant,James Fogle,Matt Dillon,United States,2500000.0,4729352.0,Avenue Pictures,101.0
Bliss,R,Comedy,1985,"February 21, 1986 (United States)",6.9,1300.0,Ray Lawrence,Ray Lawrence,Barry Otto,Australia,,,Window III Productions,112.0
The Deep Blue Sea,R,Drama,2011,"November 25, 2011 (United Kingdom)",6.2,15000.0,Terence Davies,Terence Rattigan,Rachel Weisz,United Kingdom,,3143514.0,Camberwell / Fly Films,98.0
Frequency,PG-13,Crime,2000,"April 28, 2000 (United States)",7.3,103000.0,Gregory Hoblit,Toby Emmerich,Dennis Quaid,United States,31000000.0,68106245.0,New Line Cinema,118.0
The Usual Suspects,R,Crime,1995,"August 16, 1995 (United States)",8.5,1000000.0,Bryan Singer,Christopher McQuarrie,Kevin Spacey,United States,6000000.0,23341568.0,PolyGram Filmed Entertainment,106.0
The Bookshop,PG,Drama,2017,"August 24, 2018 (United States)",6.5,14000.0,Isabel Coixet,Isabel Coixet,Emily Mortimer,United Kingdom,5400000.0,12062146.0,Diagonal TV,113.0
Heart and Souls,PG-13,Comedy,1993,"August 13, 1993 (United States)",7.0,17000.0,Ron Underwood,Gregory Hansen,Robert Downey Jr.,United States,25000000.0,16589540.0,Universal Pictures,104.0
Celeste & Jesse Forever,R,Comedy,2012,"August 3, 2012 (Canada)",6.6,30000.0,Lee Toland Krieger,Rashida Jones,Rashida Jones,United States,,3640975.0,Envision Media Arts,92.0
Proof,PG-13,Drama,2005,"October 7, 2005 (United States)",6.7,44000.0,John Madden,David Auburn,Gwyneth Paltrow,United States,20000000.0,14189860.0,Miramax,100.0
Ain't Them Bodies Saints,R,Crime,2013,"August 16, 2013 (United States)",6.4,21000.0,David Lowery,David Lowery,Rooney Mara,United States,,1031243.0,Sailor Bear,96.0
Bats,PG-13,Horror,1999,"October 22, 1999 (United States)",3.9,9900.0,Louis Morneau,John Logan,Lou Diamond Phillips,United States,5250000.0,10155690.0,Destination Films,91.0
Perfume: The Story of a Murderer,R,Crime,2006,"January 5, 2007 (United States)",7.5,239000.0,Tom Tykwer,Andrew Birkin,Ben Whishaw,Germany,60000000.0,135039924.0,DreamWorks,147.0
The Crucible,PG-13,Drama,1996,"November 27, 1996 (United States)",6.8,36000.0,Nicholas Hytner,Arthur Miller,Daniel Day-Lewis,United States,25000000.0,7343114.0,Twentieth Century Fox,124.0
Lars and the Real Girl,PG-13,Comedy,2007,"November 2, 2007 (United States)",7.3,141000.0,Craig Gillespie,Nancy Oliver,Ryan Gosling,United States,12000000.0,11293663.0,Metro-Goldwyn-Mayer (MGM),106.0
Menace II Society,R,Crime,1993,"May 26, 1993 (United States)",7.5,54000.0,Albert Hughes,Allen Hughes,Tyrin Turner,United States,3500000.0,27912072.0,New Line Cinema,97.0
World's Greatest Dad,R,Comedy,2009,"September 24, 2010 (Ireland)",6.9,38000.0,Bobcat Goldthwait,Bobcat Goldthwait,Robin Williams,United States,,221805.0,Magnolia Pictures,99.0
"Mon père, ce héros.",,Comedy,1991,"October 23, 1991 (France)",6.1,2600.0,Gérard Lauzier,Gérard Lauzier,Gérard Depardieu,France,,,Film Par Film,105.0
James Joyce's Women,R,Drama,1985,"September 13, 1985 (United States)",6.1,122.0,Michael Pearce,Fionnula Flanagan,Fionnula Flanagan,Ireland,,,The Rejoycing Company,88.0
29th Street,R,Comedy,1991,"November 1, 1991 (United States)",7.3,2700.0,George Gallo,Frank Pesce,Anthony LaPaglia,Japan,,2120564.0,JVC Entertainment Networks,101.0
The Nice Guys,R,Action,2016,"May 20, 2016 (United States)",7.4,294000.0,Shane Black,Shane Black,Russell Crowe,United States,50000000.0,62788218.0,Warner Bros.,116.0
Sing,PG-13,Drama,1989,"March 31, 1989 (United States)",6.9,716.0,Richard Baskin,Dean Pitchford,Lorraine Bracco,United States,11500000.0,2260616.0,TriStar Pictures,98.0
Her Alibi,PG,Comedy,1989,"February 3, 1989 (United States)",5.8,6900.0,Bruce Beresford,Charlie Peters,Tom Selleck,United States,,18699037.0,Warner Bros.,94.0
Logan,R,Action,2017,"March 3, 2017 (United States)",8.1,674000.0,James Mangold,James Mangold,Hugh Jackman,United States,97000000.0,619179950.0,Twentieth Century Fox,137.0
Water for Elephants,PG-13,Drama,2011,"April 22, 2011 (United States)",6.9,113000.0,Francis Lawrence,Richard LaGravenese,Robert Pattinson,United States,38000000.0,117094902.0,Fox 2000 Pictures,120.0
The Dead Pool,R,Action,1988,"July 13, 1988 (United States)",6.3,42000.0,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,United States,31000000.0,37903295.0,Warner Bros.,91.0
Time of the Gypsies,R,Comedy,1988,"February 9, 1990 (United States)",8.2,29000.0,Emir Kusturica,Emir Kusturica,Davor Dujmovic,Yugoslavia,,,Forum Sarajevo,142.0
Ulee's Gold,R,Drama,1997,"July 18, 1997 (United States)",7.0,6800.0,Victor Nunez,Victor Nunez,Peter Fonda,United States,2700000.0,9161691.0,Clinica Estetico,113.0
Romantic Comedy,PG,Comedy,1983,"October 7, 1983 (United States)",5.2,786.0,Arthur Hiller,Bernard Slade,Dudley Moore,United States,,6857733.0,Metrocolor,103.0
London Has Fallen,R,Action,2016,"March 4, 2016 (United States)",5.9,149000.0,Babak Najafi,Creighton Rothenberger,Gerard Butler,United States,60000000.0,205754447.0,Millennium Films,99.0
The Incredible Shrinking Woman,PG,Comedy,1981,"January 30, 1981 (United States)",5.5,4500.0,Joel Schumacher,Richard Matheson,Lily Tomlin,United States,,20259961.0,Lija Productions,88.0
Asterix at the Olympic Games,Not Rated,Adventure,2008,"June 13, 2008 (United States)",5.2,28000.0,Frédéric Forestier,René Goscinny,Gérard Depardieu,France,,131856927.0,Pathé Renn Productions,116.0
Testament of Youth,PG-13,Biography,2014,"January 16, 2015 (United Kingdom)",7.3,27000.0,James Kent,Vera Brittain,Alicia Vikander,United Kingdom,,5874883.0,BBC Films,129.0
Hoffa,R,Biography,1992,"December 25, 1992 (United States)",6.6,22000.0,Danny DeVito,David Mamet,Jack Nicholson,United States,35000000.0,29302121.0,Twentieth Century Fox,140.0
Psycho Beach Party,Unrated,Comedy,2000,"September 7, 2001 (United States)",6.2,5700.0,Robert Lee King,Charles Busch,Lauren Ambrose,Australia,1500000.0,268117.0,New Oz Productions,95.0
The Mule,R,Crime,2018,"December 14, 2018 (United States)",7.0,121000.0,Clint Eastwood,Nick Schenk,Clint Eastwood,United States,50000000.0,174804407.0,Warner Bros.,116.0
Eat Drink Man Woman,Not Rated,Comedy,1994,"August 3, 1994 (United States)",7.8,19000.0,Ang Lee,Ang Lee,Sihung Lung,Taiwan,,7294403.0,Ang Lee Productions,124.0
The Loss of Sexual Innocence,R,Drama,1999,"January 7, 2000 (United Kingdom)",5.4,3100.0,Mike Figgis,Mike Figgis,Julian Sands,United Kingdom,4000000.0,164022.0,Newmarket Capital Group,106.0
On Deadly Ground,R,Action,1994,"February 18, 1994 (United States)",4.6,23000.0,Steven Seagal,Ed Horowitz,Steven Seagal,United States,50000000.0,38590458.0,Seagal/Nasso Productions,101.0
Knockin' on Heaven's Door,Not Rated,Action,1997,"February 20, 1997 (Germany)",7.9,28000.0,Thomas Jahn,Thomas Jahn,Til Schweiger,Germany,,5710.0,Buena Vista International Film Production (Germany),87.0
Timecrimes,R,Horror,2007,"June 27, 2008 (Spain)",7.2,60000.0,Nacho Vigalondo,Nacho Vigalondo,Karra Elejalde,Spain,2600000.0,553198.0,Karbo Vantas Entertainment,92.0
P.S. I Love You,PG-13,Comedy,2007,"December 21, 2007 (United States)",7.0,203000.0,Richard LaGravenese,Richard LaGravenese,Hilary Swank,United States,30000000.0,156835339.0,Alcon Entertainment,126.0
The Last Boy Scout,R,Action,1991,"December 13, 1991 (United States)",7.0,95000.0,Tony Scott,Shane Black,Bruce Willis,United States,43000000.0,59509925.0,Geffen Pictures,105.0
Citizen Ruth,R,Comedy,1996,"December 13, 1996 (United States)",7.0,7500.0,Alexander Payne,Alexander Payne,Laura Dern,United States,3000000.0,285112.0,Independent Pictures (II),106.0
Riding in Cars with Boys,PG-13,Biography,2001,"October 19, 2001 (United States)",6.5,27000.0,Penny Marshall,Beverly D'Onofrio,Drew Barrymore,United States,48000000.0,35743308.0,Columbia Pictures,132.0
Paper Man,R,Comedy,2009,"May 1, 2014 (South Korea)",6.6,19000.0,Kieran Mulroney,Michele Mulroney,Jeff Daniels,United States,,13514.0,Artfire Films,110.0
Rambo III,R,Action,1988,"May 25, 1988 (United States)",5.8,125000.0,Peter MacDonald,David Morrell,Sylvester Stallone,United States,63000000.0,189015611.0,Carolco Pictures,102.0
Red Dawn,PG-13,Action,1984,"August 10, 1984 (United States)",6.4,53000.0,John Milius,Kevin Reynolds,Patrick Swayze,United States,17000000.0,38376497.0,United Artists,114.0
House of the Dead,R,Action,2003,"October 10, 2003 (United States)",2.1,36000.0,Uwe Boll,Mark A. Altman,Jonathan Cherry,Germany,12000000.0,13818181.0,Boll Kino Beteiligungs GmbH & Co. KG,90.0
Room,R,Drama,2015,"January 22, 2016 (United States)",8.1,386000.0,Lenny Abrahamson,Emma Donoghue,Brie Larson,Canada,13000000.0,35401758.0,Element Pictures,118.0
La fille sur le pont,R,Comedy,1999,"March 31, 1999 (France)",7.5,13000.0,Patrice Leconte,Serge Frydman,Vanessa Paradis,France,,,Canal+,90.0
From the Hip,PG,Comedy,1987,"February 6, 1987 (United States)",6.2,2200.0,Bob Clark,Bob Clark,Judd Nelson,United States,,9518342.0,De Laurentiis Entertainment Group (DEG),111.0
Six-String Samurai,PG-13,Action,1998,"September 18, 1998 (United States)",6.6,7000.0,Lance Mungia,Jeffrey Falcon,Jeffrey Falcon,United States,2000000.0,146125.0,HSX Films,91.0
While You Were Sleeping,PG,Comedy,1995,"April 21, 1995 (United States)",6.7,95000.0,Jon Turteltaub,Daniel G. Sullivan,Sandra Bullock,United States,17000000.0,182057016.0,Hollywood Pictures,103.0
Cadillac Records,R,Biography,2008,"December 5, 2008 (United States)",7.0,21000.0,Darnell Martin,Darnell Martin,Adrien Brody,United States,12000000.0,8883644.0,LightWave Entertainment,109.0
The Upside,PG-13,Comedy,2017,"January 11, 2019 (United States)",7.0,49000.0,Neil Burger,Jon Hartmere,Kevin Hart,United States,37500000.0,125856180.0,Escape Artists,126.0
Getting Even with Dad,PG,Comedy,1994,"June 17, 1994 (United States)",4.8,7600.0,Howard Deutch,Tom S. Parker,Macaulay Culkin,United States,30000000.0,18869594.0,Metro-Goldwyn-Mayer (MGM),109.0
Drowning Mona,PG-13,Comedy,2000,"March 3, 2000 (United States)",5.7,14000.0,Nick Gomez,Peter Steinfeld,Danny DeVito,United States,37000000.0,15910104.0,Code Entertainment,96.0
War Dogs,R,Biography,2016,"August 19, 2016 (United States)",7.1,188000.0,Todd Phillips,Stephen Chin,Jonah Hill,United States,40000000.0,86234523.0,BZ Entertainment,114.0
Liebestraum,R,Mystery,1991,November 1991 (United States),5.9,1500.0,Mike Figgis,Mike Figgis,Kevin Anderson,United States,6900000.0,133645.0,Initial Entertainment Group (IEG),112.0
At Close Range,R,Crime,1986,"April 18, 1986 (United States)",7.0,15000.0,James Foley,Elliott Lewitt,Sean Penn,United States,6500000.0,2347000.0,Hemdale,111.0
Talladega Nights: the Ballad of Ricky Bobby,PG-13,Comedy,2006,"August 4, 2006 (United States)",6.6,172000.0,Adam McKay,Will Ferrell,Will Ferrell,United States,72500000.0,163362095.0,Columbia Pictures,108.0
Song to Song,R,Drama,2017,"March 17, 2017 (United States)",5.7,20000.0,Terrence Malick,Terrence Malick,Ryan Gosling,United States,,1813453.0,Buckeye Pictures,129.0
Melvin and Howard,R,Comedy,1980,"September 19, 1980 (United States)",6.8,4500.0,Jonathan Demme,Bo Goldman,Paul Le Mat,United States,7000000.0,4309490.0,Universal Pictures,95.0
Knights of the City,R,Action,1986,"February 14, 1986 (United States)",4.8,153.0,Dominic Orlando,Leon Isaac Kennedy,Leon Isaac Kennedy,United States,,601451.0,Grace,87.0
The Four Seasons,PG,Comedy,1981,"May 22, 1981 (United States)",6.8,4200.0,Alan Alda,Alan Alda,Alan Alda,United States,,50427646.0,Universal Pictures,107.0
I Stand Alone,Not Rated,Crime,1998,"February 17, 1999 (France)",7.4,22000.0,Gaspar Noé,Gaspar Noé,Philippe Nahon,France,,6955.0,Canal+,93.0
Jerry Maguire,R,Comedy,1996,"December 13, 1996 (United States)",7.3,249000.0,Cameron Crowe,Cameron Crowe,Tom Cruise,United States,50000000.0,273552592.0,TriStar Pictures,139.0
River's Edge,R,Crime,1986,"May 8, 1987 (United States)",7.0,17000.0,Tim Hunter,Neal Jimenez,Crispin Glover,United States,1900000.0,4600000.0,Hemdale,99.0
The Border,R,Crime,1982,"February 12, 1982 (United States)",6.4,6100.0,Tony Richardson,Deric Washburn,Jack Nicholson,United States,22000000.0,6118683.0,Efer Productions,108.0
Friends with Benefits,R,Comedy,2011,"July 22, 2011 (United States)",6.5,348000.0,Will Gluck,Keith Merryman,Mila Kunis,United States,35000000.0,149542245.0,Screen Gems,109.0
Colossal,R,Comedy,2016,"April 21, 2017 (Canada)",6.2,61000.0,Nacho Vigalondo,Nacho Vigalondo,Anne Hathaway,Canada,15000000.0,4531320.0,Toy Fight Productions,109.0
After.Life,R,Drama,2009,"December 16, 2009 (Brazil)",5.9,37000.0,Agnieszka Wojtowicz-Vosloo,Agnieszka Wojtowicz-Vosloo,Christina Ricci,United States,4500000.0,2425535.0,Lleju Productions,104.0
Wild Tales,R,Comedy,2014,"August 21, 2014 (Argentina)",8.1,184000.0,Damián Szifron,Germán Servidio,Darío Grandinetti,Argentina,3300000.0,30642704.0,Kramer & Sigman Films,122.0
The Boondock Saints,R,Action,1999,"January 21, 2000 (Canada)",7.8,230000.0,Troy Duffy,Troy Duffy,Willem Dafoe,United States,6000000.0,30471.0,Franchise Pictures,108.0
The Social Network,PG-13,Biography,2010,"October 1, 2010 (United States)",7.7,645000.0,David Fincher,Aaron Sorkin,Jesse Eisenberg,United States,40000000.0,224920375.0,Columbia Pictures,120.0
Insidious,PG-13,Horror,2010,"April 1, 2011 (United States)",6.8,287000.0,James Wan,Leigh Whannell,Patrick Wilson,United States,1500000.0,99557032.0,FilmDistrict,103.0
Unforgettable,R,Drama,1996,"February 23, 1996 (United States)",6.0,5000.0,John Dahl,Bill Geddie,Ray Liotta,United States,18000000.0,2821671.0,Dino De Laurentiis Company,117.0
Crash,R,Crime,2004,"May 6, 2005 (United States)",7.7,424000.0,Paul Haggis,Paul Haggis,Don Cheadle,United States,6500000.0,98410061.0,Bob Yari Productions,112.0
The Florida Project,R,Drama,2017,"November 10, 2017 (United Kingdom)",7.6,101000.0,Sean Baker,Sean Baker,Brooklynn Prince,United States,2000000.0,10971298.0,Cre Film,111.0
Lady Vengeance,R,Crime,2005,"July 29, 2005 (South Korea)",7.6,74000.0,Park Chan-Wook,Park Chan-Wook,Nam-mi Kang,South Korea,,23834149.0,CJ Entertainment,115.0
The Winslow Boy,G,Drama,1999,"October 29, 1999 (United Kingdom)",7.3,7500.0,David Mamet,Terence Rattigan,Rebecca Pidgeon,United Kingdom,,3957934.0,Winslow Partners Ltd.,104.0
Righteous Kill,R,Crime,2008,"September 12, 2008 (United States)",6.0,86000.0,Jon Avnet,Russell Gewirtz,Robert De Niro,United States,60000000.0,79498846.0,Millennium Films,101.0
A Summer's Tale,G,Comedy,1996,"June 20, 2014 (United States)",7.6,7000.0,Éric Rohmer,Éric Rohmer,Melvil Poupaud,France,,198126.0,Canal+,113.0
The Glass Castle,PG-13,Biography,2017,"August 11, 2017 (United States)",7.1,31000.0,Destin Daniel Cretton,Destin Daniel Cretton,Brie Larson,United States,9000000.0,22088533.0,Lionsgate,127.0
Of Unknown Origin,R,Horror,1983,"November 24, 1983 (United States)",6.1,2900.0,George P. Cosmatos,Chauncey G. Parker III,Peter Weller,Canada,4000000.0,1080470.0,Warner Bros.,88.0
Illegally Yours,PG,Comedy,1988,"May 13, 1988 (United States)",4.2,949.0,Peter Bogdanovich,Michael Kaplan,Rob Lowe,United States,13000000.0,259019.0,Crescent Moon,102.0
The Crush,R,Drama,1993,"April 2, 1993 (United States)",5.8,17000.0,Alan Shapiro,Alan Shapiro,Cary Elwes,United States,6000000.0,13609396.0,Morgan Creek Entertainment,89.0
Junglee,Not Rated,Action,2019,"March 29, 2019 (United States)",5.6,1700.0,Chuck Russell,Adam Prince,Vidyut Jammwal,India,,4033587.0,Junglee Pictures,115.0
Stanley & Iris,PG-13,Drama,1990,"February 9, 1990 (United States)",6.4,7300.0,Martin Ritt,Pat Barker,Jane Fonda,United States,23000000.0,5820015.0,Metro-Goldwyn-Mayer (MGM),104.0
D.E.B.S.,PG-13,Action,2004,"March 25, 2005 (United States)",5.3,15000.0,Angela Robinson,Angela Robinson,Sara Foster,United States,3500000.0,97446.0,Screen Gems,91.0
SuperFly,R,Action,2018,"June 13, 2018 (United States)",5.2,6500.0,Director X.,Alex Tse,Trevor Jackson,United States,16000000.0,20780685.0,Columbia Pictures,116.0
Young Doctors in Love,R,Comedy,1982,"July 16, 1982 (United States)",5.5,3000.0,Garry Marshall,Michael Elias,Michael McKean,United States,,30688860.0,ABC Motion Pictures,96.0
Journey 2: The Mysterious Island,PG,Action,2012,"February 10, 2012 (United States)",5.8,96000.0,Brad Peyton,Brian Gunn,Josh Hutcherson,United States,79000000.0,335260290.0,New Line Cinema,94.0
"Crna macka, beli macor",R,Comedy,1998,"June 1, 1998 (Federal Republic of Yugoslavia)",8.1,52000.0,Emir Kusturica,Gordan Mihic,Bajram Severdzan,Federal Republic of Yugoslavia,,351447.0,CiBy 2000,127.0
Eight Legged Freaks,PG-13,Action,2002,"July 17, 2002 (United States)",5.4,53000.0,Ellory Elkayem,Ellory Elkayem,David Arquette,United States,30000000.0,45867333.0,Warner Bros.,99.0
The Beach,R,Adventure,2000,"February 11, 2000 (United States)",6.7,228000.0,Danny Boyle,John Hodge,Leonardo DiCaprio,United States,50000000.0,144056873.0,Figment Films,119.0
Black Rain,R,Action,1989,"September 22, 1989 (United States)",6.6,51000.0,Ridley Scott,Craig Bolotin,Michael Douglas,United States,30000000.0,134212055.0,Paramount Pictures,125.0
A Chorus Line,PG-13,Drama,1985,"December 20, 1985 (United States)",6.2,9300.0,Richard Attenborough,Arnold Schulman,Michael Douglas,United States,27000000.0,14202899.0,Embassy Pictures,113.0
Water Lilies,,Drama,2007,"August 15, 2007 (France)",6.7,11000.0,Céline Sciamma,Céline Sciamma,Pauline Acquart,France,,628258.0,Balthazar Productions,85.0
Bedazzled,PG-13,Comedy,2000,"October 20, 2000 (United States)",6.0,99000.0,Harold Ramis,Peter Cook,Brendan Fraser,United States,48000000.0,90383208.0,Twentieth Century Fox,93.0
Gnomeo & Juliet,G,Animation,2011,"February 11, 2011 (United States)",5.9,53000.0,Kelly Asbury,Rob Sprackling,James McAvoy,United Kingdom,36000000.0,193967670.0,Touchstone Pictures,84.0
End of Days,R,Action,1999,"November 24, 1999 (United States)",5.8,107000.0,Peter Hyams,Andrew W. Marlowe,Arnold Schwarzenegger,United States,100000000.0,211989043.0,Beacon Communications,122.0
Blinded by the Light,PG-13,Comedy,2019,"August 16, 2019 (United States)",6.9,22000.0,Gurinder Chadha,Sarfraz Manzoor,Billy Barratt,United Kingdom,15000000.0,18096691.0,New Line Cinema,118.0
Elles,NC-17,Drama,2011,"February 1, 2012 (France)",5.6,6700.0,Malgorzata Szumowska,Tine Byrckel,Juliette Binoche,France,,3822241.0,Slot Machine,99.0
Spy Hard,PG-13,Action,1996,"May 24, 1996 (United States)",5.4,37000.0,Rick Friedberg,Jason Friedberg,Leslie Nielsen,United States,18000000.0,26960191.0,Hollywood Pictures,81.0
Witness,R,Crime,1985,"February 8, 1985 (United States)",7.4,89000.0,Peter Weir,William Kelley,Harrison Ford,United States,12000000.0,68706993.0,Paramount Pictures,112.0
Gate 2: The Trespassers,R,Fantasy,1990,"February 28, 1992 (United States)",4.8,2000.0,Tibor Takács,Michael Nankin,Louis Tripp,Canada,6500000.0,2032973.0,Vision PDG,93.0
Broadway Danny Rose,PG,Comedy,1984,"January 27, 1984 (United States)",7.4,24000.0,Woody Allen,Woody Allen,Woody Allen,United States,8000000.0,10600497.0,Orion Pictures,84.0
Perfect,R,Drama,1985,"June 7, 1985 (United States)",4.5,4800.0,James Bridges,Aaron Latham,John Travolta,United States,19000000.0,12918858.0,Columbia Pictures,115.0
The Last Castle,R,Action,2001,"October 19, 2001 (United States)",7.0,75000.0,Rod Lurie,David Scarpa,Robert Redford,United States,72000000.0,27642707.0,Dreamworks Pictures,131.0
A Tale of Winter,Not Rated,Drama,1992,"January 29, 1992 (France)",7.3,4400.0,Éric Rohmer,Éric Rohmer,Charlotte Véry,France,,52431.0,Compagnie Eric Rohmer (CER),114.0
The Corruptor,R,Action,1999,"March 12, 1999 (United States)",6.1,18000.0,James Foley,Robert Pucci,Chow Yun-Fat,United States,25000000.0,24493601.0,New Line Cinema,110.0
Don Jon,R,Comedy,2013,"September 27, 2013 (United States)",6.5,232000.0,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,United States,3000000.0,39439355.0,Voltage Pictures,90.0
A Beautiful Mind,PG-13,Biography,2001,"January 4, 2002 (United States)",8.2,871000.0,Ron Howard,Akiva Goldsman,Russell Crowe,United States,58000000.0,316791257.0,Universal Pictures,135.0
The Color of Money,R,Drama,1986,"October 17, 1986 (United States)",7.0,77000.0,Martin Scorsese,Walter Tevis,Paul Newman,United States,13800000.0,52293982.0,Touchstone Pictures,119.0
Bully,TV-MA,Biography,2001,"December 12, 2001 (France)",6.9,35000.0,Larry Clark,Jim Schutze,Brad Renfro,United States,,704808.0,StudioCanal,108.0
Baby It's You,R,Comedy,1983,"March 4, 1983 (United States)",6.3,1700.0,John Sayles,Amy Robinson,Rosanna Arquette,United States,3000000.0,1867792.0,Double Play,105.0
Son of the Mask,PG,Comedy,2005,"February 18, 2005 (United States)",2.2,53000.0,Lawrence Guterman,Lance Khazei,Jamie Kennedy,United States,84000000.0,59981548.0,New Line Cinema,94.0
xXx,PG-13,Action,2002,"August 9, 2002 (United States)",5.9,175000.0,Rob Cohen,Rich Wilkes,Vin Diesel,United States,70000000.0,277448382.0,Revolution Studios,124.0
300: Rise of an Empire,R,Action,2014,"March 7, 2014 (United States)",6.2,286000.0,Noam Murro,Zack Snyder,Sullivan Stapleton,United States,110000000.0,337580051.0,Warner Bros.,102.0
The Hollywood Knights,R,Comedy,1980,"May 30, 1980 (United States)",6.3,4300.0,Floyd Mutrux,Floyd Mutrux,Tony Danza,United States,4000000.0,10000000.0,PolyGram Filmed Entertainment,91.0
Rules Don't Apply,PG-13,Comedy,2016,"November 23, 2016 (United States)",5.7,10000.0,Warren Beatty,Warren Beatty,Lily Collins,United States,25000000.0,3885342.0,New Regency Productions,127.0
Renaissance Man,PG-13,Comedy,1994,"June 3, 1994 (United States)",6.2,17000.0,Penny Marshall,Jim Burnstein,Danny DeVito,United States,40000000.0,24332324.0,Cinergi Pictures Entertainment,128.0
Crossing Delancey,PG,Comedy,1988,"September 16, 1988 (United States)",6.9,3900.0,Joan Micklin Silver,Susan Sandler,Amy Irving,United States,4000000.0,16262415.0,Warner Bros.,97.0
Sleepover,PG,Comedy,2004,"July 9, 2004 (United States)",5.4,16000.0,Joe Nussbaum,Elisa Bell,Alexa PenaVega,United States,10000000.0,10143022.0,Metro-Goldwyn-Mayer (MGM),89.0
Norbit,PG-13,Comedy,2007,"February 9, 2007 (United States)",4.1,71000.0,Brian Robbins,Eddie Murphy,Eddie Murphy,United States,60000000.0,159814490.0,Dreamworks Pictures,102.0
Tin Cup,R,Comedy,1996,"August 16, 1996 (United States)",6.4,47000.0,Ron Shelton,John Norville,Kevin Costner,United States,45000000.0,53854588.0,New Regency Productions,135.0
The Big Year,PG,Comedy,2011,"October 14, 2011 (United States)",6.2,43000.0,David Frankel,Howard Franklin,Owen Wilson,United States,41000000.0,8179416.0,Fox 2000 Pictures,100.0
Mac and Me,PG,Adventure,1988,"August 12, 1988 (United States)",3.4,12000.0,Stewart Raffill,Stewart Raffill,Christine Ebersole,United States,13000000.0,6424112.0,Mac and Me Joint Venture,99.0
Red Scorpion,R,Action,1988,"April 21, 1989 (United States)",5.2,8400.0,Joseph Zito,Robert Abramoff,Dolph Lundgren,United States,16000000.0,4192440.0,Abramoff Production,105.0
Snow Dogs,PG,Adventure,2002,"January 18, 2002 (United States)",5.2,26000.0,Brian Levant,Jim Kouf,Cuba Gooding Jr.,Canada,33000000.0,115035090.0,Walt Disney Pictures,99.0
